,summary,description,location,photo,recomendado,price,size,rooms,price/m2,bathrooms,Num Photos,type,region
561,Apartamento en Rúa Atalaia,,A Pobra Do Caramiñal,https://fotos2.imghs.net/nrd//995462/8344217407.995462/995462_8344217407_14_20201022115647624.jpg,,93.000 €,73 m²,2,1.273 €/m²,1,14,pisos,a_coruna
562,"Chalet en Playa de Lago, nº 10",,Muxía,https://fotos3.imghs.net/nrd//515985/6686185204.515985/515985_6686185204_9_20200823200125475.jpg,,370.000 €,1.000 m²,4,370 €/m²,3,17,pisos,a_coruna
563,Chalet en Rúa Lombiña,,A Pobra Do Caramiñal,https://fotos4.imghs.net/nrd//1005/537/1005_1527537_1_2020061720064211131.jpg,,596.000 €,181 m²,3,3.292 €/m²,2,31,pisos,a_coruna
564,Apartamento en Rúa Amarella,,Ribeira (Santa Uxia),https://fotos1.imghs.net/nrd/1001/913/1001_PX1600_-_VPIRICEAM1-86710913_1_2020022101084131250.jpg,,115.000 €,100 m²,3,1.150 €/m²,2,40,pisos,a_coruna
565,Piso en calle Bazán-8-10-,,Ferro (Monfero),https://fotos2.imghs.net/nrd/1070/013/1070_AS1-33701013_1_2019110717352631250.jpg,,20.500 €,70 m²,2,292 €/m²,1,11,pisos,a_coruna
566,Piso en Camino del Cemiterio,,Mugardos,https://fotos5.imghs.net/nrd//1018/141/1018_26020141_0_2020110316110726245.jpg,,56.000 €,73 m²,2,767 €/m²,2,20,pisos,a_coruna
567,Piso en Home Santo,,Campus Norte-San Caetano (Santiago de Compostela),https://fotos2.imghs.net/nrd/1089/877/1089_XA68-877_1_2020060320244831250.jpg,,85.000 €,100 m²,3,850 €/m²,2,11,pisos,a_coruna
568,"Casa en calle Egipto, nº 1",,Boiro,https://fotos2.imghs.net/nrd/1097/002/1097_0_foto_20170128133003136_945856909082002.jpg,,115.000 €,200 m²,5,575 €/m²,2,36,pisos,a_coruna
569,"Piso en calle de Canido,  57",,Malpica de Bergantiños,https://fotos2.imghs.net/nrd/9986/173/9986_562173_1_2019042315522331250.jpg,,40.700 €,64 m²,2,635 €/m²,1,28,pisos,a_coruna
570,"Piso en calle de Manuel Fraga Iribarne, nº 57",,Cariño,https://fotos5.imghs.net/nrd/1097/116/1097_0_foto_20160718173222793_945856908924116.jpg,,65.000 €,80 m²,2,812 €/m²,1,55,pisos,a_coruna
571,Piso en calle La Guardia,,Alto del Castaño (Narón),https://fotos3.imghs.net/nrd/9989/967/9989_TI-ALI0000134967_1_2019110716563331250.jpg,,80.000 €,2,2,,2,28,pisos,a_coruna
572,Piso en calle de Fray Pedro Payo Piñeiro,,Eirís-As Xubias-Pasaxe (A Coruña Capital),https://fotos1.imghs.net/nrd//515609/100019906863.515609/515609_100019906863_2_20191210162200958.jpg,,135.000 €,120 m²,4,1.125 €/m²,2,30,pisos,a_coruna
573,Piso en calle La Guardia,,Alto del Castaño (Narón),https://fotos1.imghs.net/nrd/9989/918/9989_TI-ALI0000134918_1_2019110716563331250.jpg,,82.600 €,2,2,,2,26,pisos,a_coruna
574,Casa pareada en calle Roxos. Aquilino Iglesias Alvariño,,Campus Sur-Toxeira de San Lourenzo (Santiago de Compostela),https://fotos3.imghs.net/nrd//995784/8340049677.995784/995784_8340049677_31_20201020102610964.jpg,,179.000 €,221 m²,3,809 €/m²,3,30,pisos,a_coruna
575,Casa en Guisamo,,Vixoi (San Fiz). Municipio de Bergondo,https://fotos5.imghs.net/nrd//997229/90099998444.106800/997229_90099998444_18_20200724210511164.jpg,,425.000 €,400 m²,5,1.062 €/m²,5,57,pisos,a_coruna
576,Piso en calle de Salvador Allende,,Boiro,https://fotos3.imghs.net/nrd/1060/469/1060_NI120-469_1_2020073106274331250.jpg,,130.000 €,3,3,,2,25,pisos,a_coruna
577,Casa en Pé do Muiño,,Sada,https://fotos3.imghs.net/nrd/1001/709/1001_PX75994_-_SI-2007-90968709_1_2020092601054831250.jpg,,355.000 €,220 m²,3,1.613 €/m²,4,4,pisos,a_coruna
578,Casa en calle Curros,,Ribeira (Santa Uxia),https://fotos2.imghs.net/nrd/1001/865/1001_PX1600_-_VCACASCU1-81685865_1_2019082208563631250.jpg,,110.000 €,202 m²,4,544 €/m²,1,39,pisos,a_coruna
579,Casa en calle Tragallia,,Aranga,https://fotos3.imghs.net/nrd//2040/5872027536.204000/2040_5872027536_22_20200723104647541.jpg,,155.000 €,255 m²,6,607 €/m²,2,27,pisos,a_coruna
580,Piso en calle de Miramar,,Os Castros-Castrillón-Monelos (A Coruña Capital),https://fotos2.imghs.net/nrd/1070/336/1070_AS1-ALI0000151336_1_2019111710285931250.jpg,,132.300 €,59 m²,2,2.242 €/m²,1,24,pisos,a_coruna
581,"Piso en calle del Río de Quenxe,  SN",,Corcubión,https://fotos1.imghs.net/nrd/9986/541/9986_644541_1_2020070210183231250.jpg,,54.000 €,62 m²,2,868 €/m²,2,33,pisos,a_coruna
582,Chalet en Mera,,Dexo-Lorbé (Oleiros),https://fotos2.imghs.net/nrd//1068/041/1068_B70451000-34041_6_2019081220464531250.jpg,,385.000 €,4,4,,2,16,pisos,a_coruna
583,"Casa en calle Curbera, nº 1",,Boiro,https://fotos3.imghs.net/nrd/1097/462/1097_0_foto_20170201120007522_945856909085462.jpg,,175.000 €,250 m²,5,700 €/m²,3,44,pisos,a_coruna
584,Piso en Cruceiro Da Coru?A,,Nordeste-San Lázaro (Santiago de Compostela),https://fotos2.imghs.net/nrd/1089/580/1089_XA68-580_1_2017092120180231250.jpg,,175.000 €,96 m²,3,1.822 €/m²,2,10,pisos,a_coruna
585,Apartamento en Carretera Xeral Cabo de Cruz Pesqueira,,Boiro,https://fotos2.imghs.net/nrd//995556/100027814013.995556/995556_100027814013_17_20191217134413277.jpg,,80.000 €,90 m²,2,888 €/m²,2,32,pisos,a_coruna
586,"Piso en Avenida E, nº 3",,Ferro (Monfero),https://fotos4.imghs.net/nrd/1070/170/1070_AS1-51146170_1_2019110717353631250.jpg,,23.260 €,74 m²,3,314 €/m²,1,17,pisos,a_coruna
587,"Piso en Escarabote,  271",,Boiro,https://fotos4.imghs.net/nrd/9995/033/9995_TI-251033_1_2020091714150031250.jpg,,90.900 €,101 m²,3,900 €/m²,2,40,pisos,a_coruna
588,"Casa en calle A Agrela, nº 69",,Cacheiras (San Simon de Ons). Municipio de Teo,https://fotos2.imghs.net/nrd/1070/469/1070_AS1-53042469_1_2020040710303931250.jpg,,64.150 €,365 m²,3,175 €/m²,2,12,pisos,a_coruna
589,"Piso en Avenida de Rubine, nº 33",,Ensanche (A Coruña Capital),https://fotos1.imghs.net/nrd//994560/5010232812.994560/994560_5010232812_7_20200611153906354.jpg,,360.000 €,91 m²,2,3.956 €/m²,2,7,pisos,a_coruna
590,Casa en calle Curbera,,Boiro,https://fotos2.imghs.net/nrd/1060/215/1060_NI120-215_1_2017062306134431250.jpg,,400.000 €,250 m²,5,1.600 €/m²,3,33,pisos,a_coruna
591,Casa en Cruceiro do Sar-Aríns,,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos2.imghs.net/nrd/1048/710/1048_45710_1_2020102705004531250.jpg,,248.000 €,337 m²,4,735 €/m²,2,20,pisos,a_coruna
592,Piso en Avenida del Alcalde Manuel Platas Varela,,Arteixo,https://fotos4.imghs.net/nrd/1070/431/1070_AS1-52449431_1_2020031110294231250.jpg,,77.000 €,104 m²,3,740 €/m²,1,10,pisos,a_coruna
593,Casa rústica en Rúa dos Portais,,Sada,https://fotos4.imghs.net/nrd//1018/537/1018_21322537_17_2020070805071247468.jpg,,107.000 €,100 m²,2,1.070 €/m²,3,28,pisos,a_coruna
594,Apartamento en Avenida de Santa Cristina,,Perillo (Oleiros),https://fotos1.imghs.net/nrd/1001/467/1001_PX1390_-_32222467-32222467_1_2020060212524931250.jpg,,250.000 €,182 m²,5,1.373 €/m²,2,38,pisos,a_coruna
595,Piso en calle Lomba,,Lomba (Palmeira). Municipio de Ribeira,https://fotos5.imghs.net/nrd//512648/90840801204.512648/512648_90840801204_11_20190130115431651.jpg,,75.000 €,75 m²,2,1.000 €/m²,1,7,pisos,a_coruna
596,Casa pareada en Nós,,Nós (Oleiros),https://fotos2.imghs.net/nrd/1001/779/1001_PX1390_-_84787779-84787779_1_2019043001112131250.jpg,,298.500 €,200 m²,4,1.492 €/m²,4,40,pisos,a_coruna
597,Piso en calle Camiño de Santiago Francés,,Concheiros-Fontiñas (Santiago de Compostela),https://fotos4.imghs.net/nrd//1018/794/1018_26030794_1_2020103110101275093.jpg,,220.000 €,180 m²,4,1.222 €/m²,3,46,pisos,a_coruna
598,Piso en Cuatro Caminos-Castr,,Catro Camiños-A Gaiteira (A Coruña Capital),https://fotos4.imghs.net/nrd//997229/95090779427.106800/997229_95090779427_1_20201002200503682.jpg,,173.000 €,70 m²,2,2.471 €/m²,1,15,pisos,a_coruna
599,Piso en Travesía de Meicende,,Meicende (Arteixo),https://fotos5.imghs.net/nrd//515609/99190147772.515609/515609_99190147772_6_20191105114628328.jpg,,98.000 €,126 m²,3,777 €/m²,2,11,pisos,a_coruna
600,Apartamento en calle La Magdalena,,Boiro,https://fotos3.imghs.net/nrd//995556/90895467443.995556/995556_90895467443_6_20190123174732032.jpg,,99.000 €,78 m²,2,1.269 €/m²,1,24,pisos,a_coruna
601,"Piso en calle Fernandez Mato, nº º",,Boiro,https://fotos4.imghs.net/nrd//995556/95888298269.995556/995556_95888298269_1_20190701183410676.jpg,,85.000 €,100 m²,3,850 €/m²,1,23,pisos,a_coruna
602,"Piso en Avenida de Barrié de la Maza, cerca de Calle de Linares Rivas",,Sada,https://fotos2.imghs.net/nrd//992786/6716752605.992786/992786_6716752605_1_20200818132259270.jpg,,40.000 €,75 m²,3,533 €/m²,1,16,pisos,a_coruna
603,Casa en calle Sadadarriba,,Sada,https://fotos3.imghs.net/nrd/1097/699/1097_0_foto_20170127203806230_945856909081699.jpg,,100.000 €,180 m²,4,555 €/m²,2,21,pisos,a_coruna
604,"Piso en calle de Oriente, nº 3",,Monte Alto-Adormideras (A Coruña Capital),https://fotos1.imghs.net/nrd//1005/153/1005_2693153_1_2020091223093169878.jpg,,110.000 €,60 m²,1,1.833 €/m²,1,29,pisos,a_coruna
605,"Loft en Travesa da Poza, nº 2",,Campus Sur-Toxeira de San Lourenzo (Santiago de Compostela),https://fotos1.imghs.net/nrd//995008/1731839102.995008/995008_1731839102_14_20200211111041069.jpg,,536.000 €,268 m²,1,2.000 €/m²,2,14,pisos,a_coruna
606,Piso en Camino del Cemiterio,,Mugardos,https://fotos3.imghs.net/nrd//1018/314/1018_11791314_0_2020101612100055155.jpg,,103.000 €,141 m²,4,730 €/m²,3,22,pisos,a_coruna
607,"Apartamento en Avenida de Hercules, cerca de Calle de los Pinares",,Monte Alto-Adormideras (A Coruña Capital),https://fotos4.imghs.net/nrd/1001/761/1001_PX1390_-_91261761-91261761_1_2020103001111131250.jpg,,149.000 €,87 m²,3,1.712 €/m²,1,20,pisos,a_coruna
608,"Piso en calle del Estatuto de Galicia,  25",,Boiro,https://fotos1.imghs.net/nrd/9995/383/9995_TI-245383_1_2020041807433831250.jpg,,60.100 €,55 m²,2,1.090 €/m²,1,34,pisos,a_coruna
609,"Casa en Lugar Roelle, 12",,Vedra,https://fotos1.imghs.net/nrd//995784/8402202634.995784/995784_8402202634_38_20201014173308310.jpg,,225.000 €,340 m²,5,661 €/m²,2,58,pisos,a_coruna
610,Piso en calle La Guardia,,Alto del Castaño (Narón),https://fotos3.imghs.net/nrd/9989/914/9989_TI-ALI0000134914_1_2019110716563331250.jpg,,80.900 €,2,2,,2,26,pisos,a_coruna
611,Casa unifamiliar en calle Xan Amigo,,Sada,https://fotos2.imghs.net/nrd/1097/375/1097_0_foto_20170606195437678_945856909203375.jpg,,280.000 €,172 m²,3,1.627 €/m²,2,31,pisos,a_coruna
612,"Piso en Avenida del Marqués de Figueroa,  72",,Fene,https://fotos5.imghs.net/nrd/9986/610/9986_870610_1_2020072310172531250.jpg,,86.300 €,98 m²,3,882 €/m²,2,35,pisos,a_coruna
613,"Chalet en Carretera Xeoane, S/N Pquia Serantes",,Parroquias (Ferrol),https://fotos5.imghs.net/nrd/1070/755/1070_AS1-53022755_1_2019110717354031250.jpg,,84.500 €,251 m²,8,336 €/m²,2,2,pisos,a_coruna
614,Piso en calle de Wenceslao Fernández Flores,,Os Mallos-A Falperra (A Coruña Capital),https://fotos3.imghs.net/nrd//1005/852/1005_1500852_1_2019021116024750012.jpg,,335.000 €,115 m²,3,2.913 €/m²,2,34,pisos,a_coruna
615,Casa en calle  Brañón,,Agramuniña (Boiro),https://fotos5.imghs.net/nrd//995462/8408267789.995462/995462_8408267789_12_20201021115819294.jpg,,100.000 €,180 m²,5,555 €/m²,1,17,pisos,a_coruna
616,Piso en Avenida de la Marina,,Sada,https://fotos1.imghs.net/nrd/1097/686/1097_0_foto_20150602134713941_945856908535686.jpg,,200.000 €,130 m²,4,1.538 €/m²,2,12,pisos,a_coruna
617,"Dúplex en Alameda Baño, Blo. 4",,Mugardos,https://fotos3.imghs.net/nrd//4210/98410940954.421000/4210_98410940954_1_20191029202149958.jpg,,104.000 €,142 m²,4,732 €/m²,3,20,pisos,a_coruna
618,"Piso en calle Pomar, nº 100",,Rois,https://fotos2.imghs.net/nrd/1093/474/1093_EP592-1474_1_2020101116400431250.jpg,,63.300 €,79 m²,2,801 €/m²,2,14,pisos,a_coruna
619,"Piso en Avenida Argentina, nº 5",,Laracha (Laracha). Municipio de A Laracha,https://fotos5.imghs.net/nrd/1070/236/1070_AS1-51457236_1_2019110717353331250.jpg,,63.460 €,112 m²,3,566 €/m²,2,13,pisos,a_coruna
620,"Casa en calle San Isidro, nº 1",,A Pobra Do Caramiñal,https://fotos4.imghs.net/nrd/1097/888/1097_0_foto_20170128103621971_945856909081888.jpg,,850.000 €,425 m²,6,2.000 €/m²,3,69,pisos,a_coruna
621,Piso en Rúa dos Salgueiriños de Arriba,,Campus Norte-San Caetano (Santiago de Compostela),https://fotos2.imghs.net/nrd//520936/9265955891.520936/520936_9265955891_6_20201107165628110.jpg,,147.000 €,102 m²,2,1.441 €/m²,1,18,pisos,a_coruna
622,Casa en Cespon,,Boiro,https://fotos4.imghs.net/nrd/1060/100/1060_NI120-100_1_2017062306134431250.jpg,,145.000 €,8,8,,2,20,pisos,a_coruna
623,Apartamento en calle de los Mestres,,Rianxo,https://fotos3.imghs.net/nrd/1001/887/1001_PX1600_-_RIA2_2D-82616887_1_2018100501090631250.jpg,,55.800 €,84 m²,2,664 €/m²,2,27,pisos,a_coruna
624,Casa en Avenida de Isaac Díaz Pardo,,Samoedo (Sada),https://fotos5.imghs.net/nrd//992786/98338903540.992786/992786_98338903540_1_20191011113743200.jpg,,140.000 €,149 m²,4,939 €/m²,2,45,pisos,a_coruna
625,Piso en Carretera de Castilla,,Alto del Castaño (Narón),https://fotos4.imghs.net/nrd/9989/025/9989_TI-52695025_1_2019110716571631250.jpg,,106.300 €,121 m²,3,878 €/m²,2,22,pisos,a_coruna
626,Piso en Campus Sur- Santa Marta,,Conxo-Castiñeiriño (Santiago de Compostela),https://fotos2.imghs.net/nrd/1093/040/1093_EP592-2040_3_2020100900525531250.jpg,,250.000 €,95 m²,2,2.631 €/m²,2,23,pisos,a_coruna
627,Casa en Aldea Nova,,Bertamiráns (Ames),https://fotos2.imghs.net/nrd/1089/849/1089_XA68-849_1_2020012721061531250.jpg,,235.000 €,200 m²,4,1.175 €/m²,3,8,pisos,a_coruna
628,Piso en calle Manuel Ceruelo,,Conxo-Castiñeiriño (Santiago de Compostela),https://fotos2.imghs.net/nrd//995784/2549054994.995784/995784_2549054994_11_20200325144601747.jpg,,167.071 €,90 m²,3,1.856 €/m²,2,12,pisos,a_coruna
629,Apartamento en calle de Juan Flórez,,Ensanche (A Coruña Capital),https://fotos5.imghs.net/nrd/1001/994/1001_PX1390_-_84956994-84956994_1_2019050301112131250.jpg,,460.000 €,182 m²,5,2.527 €/m²,3,40,pisos,a_coruna
630,Piso en Camino del Cemiterio,,Mugardos,https://fotos4.imghs.net/nrd//1018/107/1018_21339107_0_2020092912095902975.jpg,,56.000 €,75 m²,2,746 €/m²,2,13,pisos,a_coruna
631,Piso en San Lázaro,,Nordeste-San Lázaro (Santiago de Compostela),https://fotos2.imghs.net/nrd/1067/436/1067_IFC7585-0517408436_3_2020072110290631250.jpg,,140.000 €,80 m²,3,1.750 €/m²,2,14,pisos,a_coruna
632,"Apartamento en Avenida de Barrié de la Maza, cerca de Plaza de la Iglesia Nueva",,Sada,https://fotos4.imghs.net/nrd//992786/98334634171.992786/992786_98334634171_17_20191014180324529.jpg,,84.500 €,55 m²,1,1.536 €/m²,1,17,pisos,a_coruna
633,Piso en San Lazaro-Cancelas,,Concheiros-Fontiñas (Santiago de Compostela),https://fotos4.imghs.net/nrd/1089/236/1089_XA68-236_1_2019102920192631250.jpg,,220.000 €,100 m²,3,2.200 €/m²,2,11,pisos,a_coruna
634,Casa en Ponte Ledesma,,Boqueixón (Ponteulla),https://fotos3.imghs.net/nrd/1089/736/1089_XA68-736_1_2019021820265731250.jpg,,120.000 €,150 m²,3,800 €/m²,2,8,pisos,a_coruna
635,Apartamento en Avenida Das Mariñas,,Perillo (Oleiros),https://fotos5.imghs.net/nrd/1001/016/1001_PX1390_-_91262016-91262016_1_2020100601160231250.jpg,,145.000 €,90 m²,3,1.611 €/m²,2,29,pisos,a_coruna
636,"Piso en Avenida de los Mugardos,  55",,Ares,https://fotos3.imghs.net/nrd/9986/581/9986_559581_1_2019070508411331250.jpg,,57.000 €,75 m²,2,760 €/m²,2,52,pisos,a_coruna
637,"Piso en Rúa da Estrada, cerca de Travesa da Estrada",,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos3.imghs.net/nrd//1018/850/1018_26123850_1_2020110711111410767.jpg,,190.000 €,74 m²,3,2.567 €/m²,1,33,pisos,a_coruna
638,Casa en calle Castelo,,Dordaño (Santa Maria). Municipio de Oza-Cesuras,https://fotos4.imghs.net/nrd//510177/99173048545.510177/510177_99173048545_36_20191127200211479.jpg,,90.000 €,480 m²,4,187 €/m²,1,34,pisos,a_coruna
639,Apartamento en Rúa do Alcalde Fernández Pita,,Sada,https://fotos4.imghs.net/nrd/1097/458/1097_0_foto_1_945856906982458.jpg,,90.000 €,94 m²,3,957 €/m²,1,12,pisos,a_coruna
640,Piso en Ronda de Monte Alto,,Monte Alto-Adormideras (A Coruña Capital),https://fotos3.imghs.net/nrd/9993/010/9993_TI-BAL40841VN010010_1_2020061906363231250.jpg,,242.000 €,Obra nueva,,,,35,pisos,a_coruna
641,Casa en calle Estacion,,Ordes,https://fotos3.imghs.net/nrd/1001/668/1001_PX987_-_01869-26307668_1_2016112901063631250.jpg,,260.000 €,350 m²,4,742 €/m²,3,24,pisos,a_coruna
642,"Piso en Rúa Extremeiro,  22",,A Carreira (Miño),https://fotos4.imghs.net/nrd/9986/431/9986_657431_1_2020091712112331250.jpg,,95.300 €,60 m²,2,1.588 €/m²,1,28,pisos,a_coruna
643,Casa en Paseo Praia,,Razo da Costa (Carballo),https://fotos2.imghs.net/nrd//510177/91677980446.510177/510177_91677980446_18_20190220211044744.jpg,,495.000 €,220 m²,5,2.250 €/m²,3,38,pisos,a_coruna
644,Casa en Rúa Liñares,,Boedo (Ledoño). Municipio de Culleredo,https://fotos4.imghs.net/nrd//510177/92568228864.510177/510177_92568228864_43_20190321132621808.jpg,,415.000 €,380 m²,4,1.092 €/m²,3,48,pisos,a_coruna
645,"Apartamento en Alameda Baño, Blo. 4",,Mugardos,https://fotos2.imghs.net/nrd//4210/98407973704.421000/4210_98407973704_1_20191029203059288.jpg,,62.000 €,75 m²,2,826 €/m²,2,11,pisos,a_coruna
646,"Piso en Carretera La Coruña-Finisterre, S/N. Playa Lagosteira",,Fisterra (Santa Maria),https://fotos3.imghs.net/nrd/9989/163/9989_TI-ALI0000110163_1_2020062006120631250.jpg,,62.775 €,Obra nueva,,,,24,pisos,a_coruna
647,Piso en calle de Moncho Reboiras,,Culleredo,https://fotos1.imghs.net/nrd/1093/335/1093_EP574-429335_1_2020061716504631250.jpg,,135.000 €,90 m²,2,1.500 €/m²,2,13,pisos,a_coruna
648,Piso en Avenida das Brañas,,Negreira,https://fotos5.imghs.net/nrd/1071/398/1071_LD2-52866398_1_2019110809035631250.jpg,,73.000 €,83 m²,2,879 €/m²,1,17,pisos,a_coruna
649,"Piso en calle del Río de Quenxe,  SN",,Corcubión,https://fotos4.imghs.net/nrd/9986/520/9986_644520_1_2020070210183231250.jpg,,59.000 €,72 m²,2,821 €/m²,2,33,pisos,a_coruna
650,Piso en Casti?Eiri?O,,Conxo-Castiñeiriño (Santiago de Compostela),https://fotos3.imghs.net/nrd/1089/284/1089_XA68-284_1_2016092305112531250.jpg,,110.000 €,130 m²,4,846 €/m²,2,7,pisos,a_coruna
651,"Piso en calle de Canido,  57",,Malpica de Bergantiños,https://fotos3.imghs.net/nrd/9986/704/9986_562704_1_2019073108391331250.jpg,,49.800 €,64 m²,2,778 €/m²,1,28,pisos,a_coruna
652,Piso en calle Lugar Castro. Puente Ulla,,Vedra,https://fotos4.imghs.net/nrd//995784/100093360193.995784/995784_100093360193_24_20191210181513957.jpg,,110.000 €,115 m²,3,956 €/m²,2,40,pisos,a_coruna
653,Casa en Rúa do Príncipe,,Ortigueira,https://fotos3.imghs.net/nrd//1005/006/1005_113006_0_2020070209074573167.jpg,,60.000 €,120 m²,2,500 €/m²,1,27,pisos,a_coruna
654,Apartamento en calle Agramuiña,,Cabo de Cruz (Cabo de Cruz). Municipio de Boiro,https://fotos5.imghs.net/nrd//995462/9206660874.995462/995462_9206660874_7_20201103102146524.jpg,,55.000 €,55 m²,1,1.000 €/m²,1,9,pisos,a_coruna
655,"Dúplex en Alameda Baño, Blo. 4",,Mugardos,https://fotos5.imghs.net/nrd//4210/98427807989.421000/4210_98427807989_1_20191029202009200.jpg,,104.000 €,142 m²,4,732 €/m²,3,20,pisos,a_coruna
656,Piso en Sar,,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos1.imghs.net/nrd/1067/574/1067_IFC7585-0516302574_5_2020060410180931250.jpg,,199.500 €,123 m²,4,1.621 €/m²,3,19,pisos,a_coruna
657,Casa en calle O Barco,,Padrón,https://fotos4.imghs.net/nrd/1001/180/1001_PX987_-_02491-27208180_1_2019011501075131250.jpg,,690.000 €,380 m²,6,1.815 €/m²,6,40,pisos,a_coruna
658,"Piso en Ronda de Monte Alto, nº 54",,Monte Alto-Adormideras (A Coruña Capital),https://fotos1.imghs.net/nrd/1093/341/1093_EP592-1341_1_2020092116420931250.jpg,,258.000 €,114 m²,2,2.263 €/m²,2,17,pisos,a_coruna
659,Piso en calle Isla de Sálvora,,A Gándara (Narón),https://fotos2.imghs.net/nrd/1070/673/1070_AS1-52984673_1_2020050615472331250.jpg,,30.000 €,69 m²,3,434 €/m²,1,8,pisos,a_coruna
660,Apartamento en Rúa Pedro Arias,,Ribeira (Santa Uxia),https://fotos3.imghs.net/nrd/1001/186/1001_PX1600_-_VPIRICE39-88159186_3_2020071401063431250.jpg,,125.000 €,106 m²,3,1.179 €/m²,2,28,pisos,a_coruna
661,"Piso en Rúa Loyos, nº 55",,Loios (Miño),https://fotos1.imghs.net/nrd//994560/97513210473.994560/994560_97513210473_1_20190919185309272.jpg,,125.000 €,80 m²,3,1.562 €/m²,2,3,pisos,a_coruna
662,Piso en Praza Feira Nova,,Arteixo,https://fotos4.imghs.net/nrd/1070/952/1070_AS1-38902952_1_2019110717350831250.jpg,,100.050 €,62 m²,3,1.613 €/m²,2,9,pisos,a_coruna
663,Casa en Teo,,Teo,https://fotos2.imghs.net/nrd/1069/102/1069_I000163-C000102_1_2020051508211031250.jpg,,185.000 €,304 m²,4,608 €/m²,3,22,pisos,a_coruna
664,Piso en Jubia,,Piñeiros-Freixeiro (Narón),https://fotos2.imghs.net/nrd//500610/98421560801.500610/500610_98421560801_1_20191014171431534.jpg,,55.000 €,100 m²,3,550 €/m²,1,24,pisos,a_coruna
665,Casa en San Mateo,,A Gándara (Narón),https://fotos2.imghs.net/nrd//500610/96687862920.500610/500610_96687862920_1_20190805194110719.jpg,,75.000 €,150 m²,5,500 €/m²,2,7,pisos,a_coruna
666,"Ático en Avenida Xoan Vicente Viqueira, nº 23",,Sada,https://fotos1.imghs.net/nrd//1018/527/1018_21257527_1_2020043015043637262.jpg,,59.000 €,98 m²,3,602 €/m²,2,14,pisos,a_coruna
667,Piso en calle Monte Da Ibia S/N,,Arteixo,https://fotos3.imghs.net/nrd/1071/290/1071_LD2-20850290_1_2019110809035531250.jpg,,360.000 €,558 m²,6,645 €/m²,4,26,pisos,a_coruna
668,"Casa en Travesía de Meicende, nº 163",,Arteixo,https://fotos4.imghs.net/nrd/1070/184/1070_AS1-48364184_1_2020052623543331250.jpg,,240.550 €,483 m²,2,498 €/m²,1,26,pisos,a_coruna
669,Casa unifamiliar en calle Rego de Andel,,Urbanización Costa Miño Golf (Miño),https://fotos5.imghs.net/nrd/1097/501/1097_0_foto_20170811104135179_945856909261501.jpg,,250.000 €,239 m²,4,1.046 €/m²,3,42,pisos,a_coruna
670,Casa en Norte,,Nordeste-San Lázaro (Santiago de Compostela),https://fotos2.imghs.net/nrd/1089/347/1089_XA68-347_1_2017092120180231250.jpg,,300.000 €,300 m²,5,1.000 €/m²,4,9,pisos,a_coruna
671,Casa en calle Lugar Vilar,,Abegondo,https://fotos4.imghs.net/nrd/1093/048/1093_EP574-462048_1_2020090305384131250.jpg,,395.000 €,393 m²,4,1.005 €/m²,2,66,pisos,a_coruna
672,Piso en calle del Xeixo,,Ames (San Tome),https://fotos5.imghs.net/nrd//1018/953/1018_26123953_1_2020110712115353476.jpg,,115.000 €,85 m²,3,1.352 €/m²,2,43,pisos,a_coruna
673,Piso en Carretera de Castilla -631-633-,,Piñeiros-Freixeiro (Narón),https://fotos4.imghs.net/nrd/1070/558/1070_AS1-47316558_1_2019110717353131250.jpg,,33.560 €,80 m²,3,419 €/m²,2,12,pisos,a_coruna
674,Apartamento en Perillo,,Perillo (Oleiros),https://fotos1.imghs.net/nrd/1001/979/1001_PX1390_-_84226979-84226979_1_2019043001112131250.jpg,,189.000 €,80 m²,2,2.362 €/m²,2,29,pisos,a_coruna
675,Piso en Avenida Arenal,,Cabanas (Pontedeume),https://fotos5.imghs.net/nrd//990666/91679141722.990666/990666_91679141722_1_20190201182132390.jpg,,148.000 €,127 m²,3,1.165 €/m²,2,18,pisos,a_coruna
676,"Piso en Avenida de Finisterre, nº 20",,Ensanche (A Coruña Capital),https://fotos1.imghs.net/nrd//994128/872194365.994128/994128_872194365_6_20200604164315945.jpg,,375.000 €,95 m²,3,3.947 €/m²,2,6,pisos,a_coruna
677,Piso en Urbanización Milladoiro,,O Milladoiro (Ames),https://fotos1.imghs.net/nrd//520936/4169898138.520936/520936_4169898138_34_20200516171937185.jpg,,93.000 €,75 m²,2,1.240 €/m²,2,34,pisos,a_coruna
678,"Piso en Carretera La Coruña-Finisterre, S/N. Playa Lagosteira",,Fisterra (Santa Maria),https://fotos5.imghs.net/nrd/9989/170/9989_TI-ALI0000110170_1_2020062006120631250.jpg,,66.510 €,Obra nueva,,,,24,pisos,a_coruna
679,"Piso en Avenida de Montserrat, 14",,Eirís-As Xubias-Pasaxe (A Coruña Capital),https://fotos1.imghs.net/nrd//992837/8366116885.992837/992837_8366116885_2_20201020172504368.jpg,,219.000 €,112 m²,3,1.955 €/m²,2,20,pisos,a_coruna
